timestamp;prompt;image_file;run;gencoordinates;goldcoordinates;overlap;areaoftrueboundingbox;totaltp;totalareaoftrueboundingbox;recall;union;overlap/union
240122180709;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_09_08_drive_0012_001051.png;0;(698.88, 97.75), (792.9599999999999, 293.25);(668.825, 114.1), (715.025, 288.4);2814.0734999999963;8052.659999999987;2814.0734999999963;8052.659999999987;0.3494588744588746;23631.22649999998;0.11907779827685719
240122180718;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_09_08_drive_0012_001051.png;1;(645.12, 117.3), (712.32, 273.7);(668.825, 114.1), (715.025, 288.4);6802.6179999999995;8052.659999999987;9616.691499999995;16105.319999999974;0.844766574026472;11760.121999999992;0.5783987276043905
240122180724;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_09_08_drive_0012_001051.png;2;(698.88, 58.65), (766.0799999999999, 332.34999999999997);(668.825, 114.1), (715.025, 288.4);2814.0734999999963;8052.659999999987;12430.764999999992;24157.97999999996;0.3494588744588746;23631.22649999997;0.11907779827685723
240122180726;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_09_08_drive_0012_001051.png;3;(631.68, 109.48), (725.76, 383.18);(668.825, 114.1), (715.025, 288.4);8052.659999999987;8052.659999999987;20483.42499999998;32210.63999999995;1.0;25749.69600000001;0.31271620774832587
240122180731;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_09_08_drive_0012_001051.png;4;(698.88, 117.3), (792.9599999999999, 254.15);(668.825, 114.1), (715.025, 288.4);2209.443249999998;8052.659999999987;22692.868249999978;40263.29999999994;0.27437433717554216;18718.064749999983;0.11803171149349222
240122180735;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_12_14_drive_0013_000201.png;0;(304.08, 104.49000000000001), (418.11, 278.64);(336.7, 95.7), (382, 242.7);6260.9130000000005;6659.100000000001;6260.9130000000005;6659.100000000001;0.9402040816326529;20256.511500000004;0.30906624439038327
240122180738;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_12_14_drive_0013_000201.png;1;(582.82, 50.31), (658.84, 239.94);(336.7, 95.7), (382, 242.7);0;6659.100000000001;6260.9130000000005;13318.200000000003;0.0;21074.772599999997;0.0
240122180744;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_12_14_drive_0013_000201.png;2;(570.15, 77.4), (601.8249999999999, 193.5);(336.7, 95.7), (382, 242.7);0;6659.100000000001;6260.9130000000005;19977.300000000003;0.0;10336.567499999996;0.0
240122180748;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_12_14_drive_0013_000201.png;3;(443.45, 193.5), (570.15, 367.65);(336.7, 95.7), (382, 242.7);0;6659.100000000001;6260.9130000000005;26636.400000000005;0.0;28723.905;0.0
240122180751;Given the reference system where (0,0) is the top-left corner and (1,1) is the bottom-right corner of the image, provide the coordinates (X,Y), (X',Y') representing the precise location of a person in the image. Ensure the coordinates accurately delineate the complete area occupied by the person. Return coordinates ONLY using this template: (X,Y), (X',Y');I1_2009_12_14_drive_0013_000201.png;4;(582.82, 104.49000000000001), (684.1800000000001, 294.12);(336.7, 95.7), (382, 242.7);0;6659.100000000001;6260.9130000000005;33295.50000000001;0.0;25879.996800000004;0.0
