timestamp;prompt;image_file;run;gencoordinates;goldcoordinates;overlap;areaoftrueboundingbox;totaltp;totalareaoftrueboundingbox;recall;union;overlap/union
240507102315;Given the ;1506906089681221_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102316;Given the ;1506906089681221_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102316;Given the ;1506906089681221_front.jpeg;2;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102318;Given the ;1506907458250708_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102319;Given the ;1506907458250708_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102320;Given the ;1506907458250708_front.jpeg;2;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102321;Given the ;1506907459250608_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102322;Given the ;1506907459250608_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102323;Given the ;1506907459250608_front.jpeg;2;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102324;Given the ;1506907460250766_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102325;Given the ;1506907460250766_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102326;Given the ;1506907460250766_front.jpeg;2;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102327;Given the ;1506907463250685_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102328;Given the ;1506907463250685_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102329;Given the ;1506907463250685_front.jpeg;2;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102330;Given the ;1506907466250691_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102332;Given the ;1506907466250691_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102333;Given the ;1506907466250691_front.jpeg;2;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102333;Given the ;1506959817627630_front.jpeg;0;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102334;Given the ;1506959817627630_front.jpeg;1;(0, 0), (0, 0);(0, 0), (0, 0);0;0;0;0;0;0;0.0
240507102338;Given the ;1506959817627630_front.jpeg;2;(0, 0), (1, 1);(0, 0), (2, 2);0;0;0;0;0;0;0.0
